date;home_team;away_team;home_goals;away_goals;result
2023/2024;Real;Atletico;1;1;0
2023/2024;Atletico;Real;3;1;1
2022/2023;Real;Atletico;1;1;0
2022/2023;Atletico;Real;1;2;-1
2021/2022;Atletico;Real;1;0;1
2021/2022;Real;Atletico;2;0;1
2020/2021;Atletico;Real;1;1;0
2020/2021;Real;Atletico;2;0;1
2019/2020;Real;Atletico;1;0;1
2019/2020;Atletico;Real;0;0;0
2018/2019;Atletico;Real;1;3;-1
2018/2019;Real;Atletico;0;0;0
2017/2018;Real;Atletico;1;1;0
2017/2018;Atletico;Real;0;0;0
2016/2017;Real;Atletico;1;1;0
2016/2017;Atletico;Real;0;3;-1
2015/2016;Real;Atletico;0;1;-1
2015/2016;Atletico;Real;1;1;0
2014/2015;Atletico;Real;4;0;1
2014/2015;Real;Atletico;1;2;-1
2013/2014;Atletico;Real;2;2;0
2013/2014;Real;Atletico;0;1;-1
2012/2013;Atletico;Real;1;2;-1
2012/2013;Real;Atletico;2;0;1
2011/2012;Atletico;Real;1;4;-1
2011/2012;Real;Atletico;4;1;1
2010/2011;Atletico;Real;1;2;-1
2010/2011;Real;Atletico;2;0;1
2009/2010;Real;Atletico;3;2;1
2009/2010;Atletico;Real;2;3;-1
2008/2009;Real;Atletico;1;1;0
2008/2009;Atletico;Real;1;2;-1
2007/2008;Atletico;Real;0;2;-1
2007/2008;Real;Atletico;2;1;1
2006/2007;Atletico;Real;1;1;0
2006/2007;Real;Atletico;1;1;0
2005/2006;Real;Atletico;2;1;1
2005/2006;Atletico;Real;0;3;-1
2004/2005;Real;Atletico;0;0;0
2004/2005;Atletico;Real;0;3;-1
2003/2004;Atletico;Real;1;2;-1
2003/2004;Real;Atletico;2;0;1
2002/2003;Atletico;Real;0;4;-1
2002/2003;Real;Atletico;2;2;0
1999/2000;Atletico;Real;1;1;0
1999/2000;Real;Atletico;1;3;-1
1998/1999;Atletico;Real;3;1;1
1998/1999;Real;Atletico;4;2;1
1997/1998;Atletico;Real;1;1;0
1997/1998;Real;Atletico;1;1;0
1996/1997;Real;Atletico;3;1;1
1996/1997;Atletico;Real;1;4;-1
1995/1996;Atletico;Real;1;2;-1
1995/1996;Real;Atletico;1;0;1
1994/1995;Atletico;Real;0;2;-1
1994/1995;Real;Atletico;4;2;1
1993/1994;Real;Atletico;1;0;1
1993/1994;Atletico;Real;0;0;0
1992/1993;Real;Atletico;1;0;1
1992/1993;Atletico;Real;1;1;0
1991/1992;Real;Atletico;3;2;1
1991/1992;Atletico;Real;2;0;1
1990/1991;Atletico;Real;0;3;-1
1990/1991;Real;Atletico;0;3;-1
1989/1990;Atletico;Real;3;3;0
1989/1990;Real;Atletico;3;1;1
1988/1989;Atletico;Real;3;3;0
1988/1989;Real;Atletico;2;1;1
1987/1988;Atletico;Real;1;3;-1
1987/1988;Real;Atletico;0;4;-1
1986/1987      ;Real;Atletico;4;1;1
1986/1987       ;Atletico;Real;1;1;0
1985/1986;Atletico;Real;0;1;-1
1985/1986;Real;Atletico;2;1;1
1984/1985;Real;Atletico;0;4;-1
1984/1985;Atletico;Real;0;1;-1
1983/1984;Atletico;Real;1;0;1
1983/1984;Real;Atletico;5;0;1
1982/1983;Atletico;Real;0;0;0
1982/1983;Real;Atletico;3;1;1
1981/1982;Atletico;Real;2;3;-1
1981/1982;Real;Atletico;2;1;1
1980/1981;Real;Atletico;2;0;1
1980/1981;Atletico;Real;3;1;1
1979/1980;Real;Atletico;4;0;1
1979/1980;Atletico;Real;1;1;0
1978/1979;Real;Atletico;1;1;0
1978/1979;Atletico;Real;2;2;0
1977/1978;Atletico;Real;1;3;-1
1977/1978;Real;Atletico;4;2;1
1976/1977;Real;Atletico;1;1;0
1976/1977;Atletico;Real;4;0;1
1975/1976;Real;Atletico;1;0;1
1975/1976;Atletico;Real;1;0;1
1974/1975;Atletico;Real;1;1;0
1974/1975;Real;Atletico;1;0;1
1973/1974;Atletico;Real;0;2;-1
1973/1974;Real;Atletico;2;0;1
1972/1973;Atletico;Real;1;2;-1
1972/1973;Real;Atletico;0;1;-1
1971/1972;Atletico;Real;4;1;1
1971/1972;Real;Atletico;1;0;1
1970/1971;Real;Atletico;1;0;1
1970/1971;Atletico;Real;2;2;0
1969/1970;Atletico;Real;3;0;1
1969/1970;Real;Atletico;1;1;0
1968/1969;Real;Atletico;0;0;0
1968/1969;Atletico;Real;0;1;-1
1967/1968;Atletico;Real;1;1;0
1967/1968;Real;Atletico;0;0;0
1966/1967;Atletico;Real;2;2;0
1966/1967;Real;Atletico;2;1;1
1965/1966;Real;Atletico;3;1;1
1965/1966;Atletico;Real;1;1;0
1964/1965;Real;Atletico;0;1;-1
1964/1965;Atletico;Real;0;1;-1
1963/1964;Atletico;Real;0;1;-1
1963/1964;Real;Atletico;5;1;1
1962/1963;Real;Atletico;4;3;1
1962/1963;Atletico;Real;1;1;0
1961/1962;Atletico;Real;1;0;1
1961/1962;Real;Atletico;2;1;1
1960/1961;Real;Atletico;3;1;1
1960/1961;Atletico;Real;1;0;1
1959/1960;Real;Atletico;3;2;1
1959/1960;Atletico;Real;3;3;0
1958/1959;Atletico;Real;2;1;1
1958/1959;Real;Atletico;5;0;1
1957/1958;Atletico;Real;1;1;0
1957/1958;Real;Atletico;0;0;0
1956/1957;Real;Atletico;0;2;-1
1956/1957;Atletico;Real;2;4;-1
1955/1956;Atletico;Real;1;0;1
1955/1956;Real;Atletico;3;2;1
1954/1955;Atletico;Real;2;4;-1
1954/1955;Real;Atletico;1;0;1
1953/1954;Real;Atletico;2;1;1
1953/1954;Atletico;Real;3;4;-1
1952/1953;Real;Atletico;2;0;1
1952/1953;Atletico;Real;1;2;-1
1951/1952;Real;Atletico;2;1;1
1951/1952;Atletico;Real;3;2;1
1950/1951;Atletico;Real;4;0;1
1950/1951;Real;Atletico;3;6;-1
1949/1950;Atletico;Real;5;1;1
1949/1950;Real;Atletico;4;2;1
1948/1949;Atletico;Real;0;2;-1
1948/1949;Real;Atletico;1;2;-1
1947/1948;Real;Atletico;1;1;0
1947/1948;Atletico;Real;5;0;1
1946/1947;Atletico;Real;2;3;-1
1946/1947;Real;Atletico;1;2;-1
1945/1946;Atletico;Real;3;1;1
1945/1946;Real;Atletico;2;1;1
1944/1945;Real;Atletico;3;1;1
1944/1945;Atletico;Real;0;1;-1
1943/1944;Atletico;Real;3;1;1
1943/1944;Real;Atletico;3;2;1
1942/1943;Atletico;Real;2;1;1
1942/1943;Real;Atletico;1;3;-1
1941/1942;Real;Atletico;4;1;1
1941/1942;Atletico;Real;2;0;1
1940/1941;Real;Atletico;1;4;-1
1940/1941;Atletico;Real;3;1;1
1939/1940;Real;Atletico;2;0;1
1939/1940;Atletico;Real;2;1;1
1935/1936;Real;Atletico;3;1;1
1935/1936;Atletico;Real;2;3;-1
1934/1935;Atletico;Real;2;2;0
1934/1935;Real;Atletico;2;0;1
1929/1930;Real;Atletico;4;1;1
1929/1930;Atletico;Real;2;1;1
1928/1929;Atletico;Real;0;3;-1
1928/1929;Real;Atletico;2;1;1
